wavelengths,power_meas,std_power_meas
646.0,1.0421153772e-07,6.71487142118267e-11
647.0,1.0465033370000001e-07,6.631124135868789e-11
648.0,1.0512143051000001e-07,6.74592180401595e-11
649.0,1.0555985396000001e-07,7.028988549498714e-11
650.0,1.0601852775e-07,6.836346750193074e-11
651.0,1.0646925022e-07,6.672160285403522e-11
652.0,1.0689785950999998e-07,6.418668327394699e-11
653.0,1.0733740020999998e-07,6.232738944866877e-11
654.0,1.0775780836000001e-07,6.720248202671059e-11
655.0,1.0819225619000001e-07,6.634449482371547e-11
656.0,1.0860024302999999e-07,6.574711311129263e-11
657.0,1.0900040234000003e-07,7.02722985656825e-11
658.0,1.0943000381000002e-07,6.66161559279283e-11
659.0,1.0983451174999999e-07,6.732760673562814e-11
660.0,1.1024262204999999e-07,6.911257860467593e-11
661.0,1.1062973593000001e-07,6.324207713544211e-11
662.0,1.1101125986000002e-07,6.234065777981877e-11
663.0,1.1142483609999999e-07,6.282599877654137e-11
664.0,1.1180660755999998e-07,6.613368586118957e-11
665.0,1.1220415757999998e-07,6.854196230721414e-11
666.0,1.1260158366e-07,6.489937686483869e-11
667.0,1.1298919563e-07,6.246026827250294e-11
668.0,1.1342811629000002e-07,6.775831756150734e-11
669.0,1.1383933196000001e-07,6.590770705553531e-11
670.0,1.1425116906e-07,6.36073570121919e-11
671.0,1.1466636005e-07,6.956748435344966e-11
672.0,1.1507198486000002e-07,7.225399141224308e-11
673.0,1.1549748793e-07,6.042112386446595e-11
674.0,1.1594895512e-07,6.173020611180285e-11
675.0,1.1638613713e-07,7.093945206155181e-11
676.0,1.1684369195e-07,6.420653912840581e-11
677.0,1.1734274165000002e-07,6.503589423024372e-11
678.0,1.1781123042e-07,6.476116427646665e-11
679.0,1.1831872858999999e-07,6.336153369073242e-11
680.0,1.1881404993e-07,6.474668354460485e-11
681.0,1.1934005666e-07,6.670075233596891e-11
682.0,1.1985239864e-07,6.366465764197841e-11
683.0,1.2039356499e-07,6.418951340078862e-11
684.0,1.2097411250999998e-07,6.618060175980337e-11
685.0,1.2153254673999999e-07,6.681184109252308e-11
686.0,1.2215508497999998e-07,6.961493071791159e-11
687.0,1.2276122395e-07,6.691753428861281e-11
688.0,1.2338898194000003e-07,6.777915644810373e-11
689.0,1.2406730288000003e-07,6.55448073775906e-11
690.0,1.2471866552e-07,6.549529807604198e-11
691.0,1.2541673562e-07,6.527412867005918e-11
692.0,1.2612064778000002e-07,6.428025642272936e-11
693.0,1.2685872173000002e-07,6.983023426150966e-11
694.0,1.2757717022999998e-07,7.165611167079166e-11
695.0,1.2834518802e-07,6.161914851618553e-11
696.0,1.2912550400000001e-07,6.585690689730516e-11
697.0,1.2992296397999998e-07,6.639318915264799e-11
698.0,1.3072228899e-07,6.983213198141654e-11
